model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
tabnet,preDisparate posCalibrated,0.734798566,0.791114575,0.764647468,0.961298377,0.851769912,0.322998166,-0.03875,,-0.215288612,0.784711388,0.07174896,0.569
lr,preDisparate posROC,0.737479344,0.790335152,0.768686869,0.950062422,0.849804578,0.241262852,-0.05,,-0.228549142,0.771450858,0.078245783,0.599
adversarial,inAD posCalibrated,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.132116452,-0.04,,-0.218408736,0.781591264,0.072232698,0.575
lgbm,preLFR posCalibrated,0.668238872,0.676539361,0.761517615,0.701622971,0.730344379,0.329638531,-0.29875,,-0.425117005,0.574882995,0.250340233,1
adversarial,preDisparate inAD,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.260541609,-0.0425,,-0.221528861,0.778471139,0.073647826,0.582
xgb,preDisparate posROC,0.729566517,0.779423227,0.766460905,0.930087391,0.840383531,0.334030889,-0.07,,-0.242589704,0.757410296,0.091312431,0.64
metafair,preLFR,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
adversarial,preLFR inAD,0.5,0.624318005,0.624318005,1,0.768714012,,0,,0,1,0.059630498,0.021
lr,preLFR posEqqOds,0.539369875,0.574434918,0.652694611,0.680399501,0.666259169,0.076220773,0.68125,,0.651326053,inf,0.279103102,1
adversarial,preLFR inAD posEqqOds,0.5,0.375681995,0,0,,1.57E-09,0,,0,,0.979012251,0.459
metafair,preLFR posROC,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
tabnet,preLFR posROC,0.542041587,0.572096648,0.655555556,0.662921348,0.659217877,0.046290073,0.66375,,0.631825273,inf,0.292372007,1
cat,preLFR posROC,0.5,0.624318005,0.624318005,1,0.768714012,3.76E-17,0,,0,1,0.059630498,0.021
adversarial,preReweighing inAD,0.733320901,0.785658613,0.76673428,0.943820225,0.8461108,0.054695968,-0.05625,,-0.231669267,0.768330733,0.082498863,0.61
adversarial,preDisparate inAD posCalibrated,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.208573427,-0.04125,,-0.22074883,0.77925117,0.0728263,0.579
xgb,preLFR posROC,0.5,0.375681995,0,0,,0,0,,0,,0.979012251,0.459
metafair,preLFR posEqqOds,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
adversarial,preReweighing inAD posROC,0.73561575,0.789555729,0.766834171,0.952559301,0.849665924,0.083411013,-0.0475,,-0.224648986,0.775351014,0.07694048,0.591
metafair,posEqqOds,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
adversarial,inAD posROC,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.093002111,-0.0425,,-0.221528861,0.778471139,0.073647826,0.582
adversarial,preReweighing inAD posCalibrated,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.068317574,-0.04125,,-0.22074883,0.77925117,0.0728263,0.579
adversarial,preLFR inAD posROC,0.5,0.624318005,0.624318005,1,0.768714012,,0,,0,1,0.059630498,0.021
adversarial,inAD posEqqOds,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.292692356,-0.04125,,-0.22074883,0.77925117,0.0728263,0.579
adversarial,preDisparate inAD posROC,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.389554829,-0.0425,,-0.221528861,0.778471139,0.073647826,0.582
adversarial,preLFR inAD posCalibrated,0.49937578,0.623538581,0.624024961,0.998751561,0.7681229,-0.024439759,-0.00125,,-0.000780031,0.999219969,0.060411846,0.024
adversarial,preDisparate inAD posEqqOds,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.387442502,-0.04125,,-0.22074883,0.77925117,0.0728263,0.579
