model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,posEqqOds,0.678414634,0.677248677,0.242857143,0.68,0.357894737,0.187705003,-0.615384615,-0.685243328,-0.74375,0.25625,0.100415648,1
lr,preReweighing posEqqOds,0.586585366,0.576719577,0.176470588,0.6,0.272727273,0.088118183,0.032051282,-0.041197248,-0.120474138,0.781640625,0.114015425,0.532
tabnet,preReweighing posCalibrated,0.625609756,0.497354497,0.181818182,0.8,0.296296296,0.052594794,-0.064102564,-0.218125712,-0.330818966,0.61625,0.083971071,1
xgb,posEqqOds,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.525641026,-0.657378336,-0.712284483,0.234953704,0.115646216,1
lr,preReweighing posCalibrated,0.586585366,0.576719577,0.176470588,0.6,0.272727273,0.088118183,0.032051282,-0.041197248,-0.120474138,0.781640625,0.114015425,0.532
lgbm,preReweighing posCalibrated,0.615365854,0.656084656,0.205882353,0.56,0.301075269,0.20138949,-0.685897436,-0.684285253,-0.674784483,0.275231481,0.117681607,1
lgbm,preReweighing posEqqOds,0.615365854,0.656084656,0.205882353,0.56,0.301075269,0.20138949,-0.685897436,-0.684285253,-0.674784483,0.275231481,0.117681607,1
lgbm,posROC,0.652317073,0.661375661,0.225352113,0.64,0.333333333,0.238577704,-0.692307692,-0.68408902,-0.696767241,0.278348214,0.106613373,1
xgb,preReweighing posROC,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.525641026,-0.657378336,-0.712284483,0.234953704,0.115646216,1
lgbm,preReweighing posROC,0.615365854,0.656084656,0.205882353,0.56,0.301075269,0.20138949,-0.685897436,-0.684285253,-0.674784483,0.275231481,0.117681607,1
xgb,preDisparate posROC,0.623780488,0.788359788,0.285714286,0.4,0.333333333,0.150728489,-0.512820513,-0.630759996,-0.67737069,0.107102273,0.122599773,1
cat,preDisparate posCalibrated,0.643536585,0.587301587,0.202247191,0.72,0.315789474,0.15788129,-0.538461538,-0.5855573,-0.625,0.375,0.097396655,1
mlp,preReweighing posEqqOds,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.435897436,-0.578693016,-0.64612069,0.148295455,0.120698278,1
lr,preDisparate posEqqOds,0.675365854,0.671957672,0.23943662,0.68,0.354166667,0.189749648,-0.615384615,-0.681841968,-0.7375,0.2625,0.100714248,1
cat,preReweighing posEqqOds,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.538461538,-0.605965463,-0.6625,0.3375,0.097172984,1
tabnet,preReweighing posEqqOds,0.625609756,0.497354497,0.181818182,0.8,0.296296296,0.052594794,-0.064102564,-0.218125712,-0.330818966,0.61625,0.083971071,1
mlp,preLFR posEqqOds,0.5,0.867724868,0,0,,-7.91E-84,0,0,0,,0.141880587,0
cat,preReweighing posROC,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.538461538,-0.605965463,-0.6625,0.3375,0.097172984,1
tabtransformer,preDisparate posCalibrated,0.677073171,0.645502646,0.230769231,0.72,0.349514563,0.181914035,-0.538461538,-0.622972266,-0.69375,0.30625,0.096518635,1
tabnet,posROC,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.301282051,-0.449960754,-0.546767241,0.433705357,0.091708032,1
cat,preDisparate posEqqOds,0.643536585,0.587301587,0.202247191,0.72,0.315789474,0.15788129,-0.538461538,-0.5855573,-0.625,0.375,0.097396655,1
xgb,preDisparate posCalibrated,0.623780488,0.788359788,0.285714286,0.4,0.333333333,0.150728489,-0.512820513,-0.630759996,-0.67737069,0.107102273,0.122599773,1
mlp,preDisparate posCalibrated,0.622439024,0.756613757,0.255813953,0.44,0.323529412,0.208669677,-0.435897436,-0.568488934,-0.62737069,0.173011364,0.123334596,1
