model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,posEqqOds,0.737892468,0.790335152,0.769230769,0.948813983,0.849636669,0.242269217,-0.051442911,,-0.230648944,0.769351056,0.078955769,0.604
lgbm,posROC,0.728345274,0.78254092,0.762575453,0.946317104,0.844568245,0.334235766,-0.053952321,,-0.22595778,0.77404222,0.081522181,0.6
cat,preLFR posCalibrated,0.477608384,0.503507405,0.606770833,0.581772784,0.594008923,-0.013127794,0.333437892,,0.349687256,2.398749023,0.360986252,1
tabtransformer,preLFR posCalibrated,0.53769018,0.569758379,0.652014652,0.666666667,0.659259259,0.075979607,-0.083751568,,-0.112001564,0.850664582,0.289752662,0.566
cat,preDisparate posEqqOds,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.333411154,-0.040150565,,-0.219702893,0.780297107,0.072119366,0.576
xgb,preReweighing posROC,0.724123373,0.766952455,0.768736617,0.896379526,0.827665706,0.334666995,-0.104140527,,-0.272869429,0.727130571,0.112833722,0.83
tabnet,preDisparate posCalibrated,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.326034303,-0.040150565,,-0.220484754,0.779515246,0.072005426,0.577
cat,preReweighing posEqqOds,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.331325176,-0.040150565,,-0.220484754,0.779515246,0.072005426,0.577
lr,preDisparate posEqqOds,0.737892468,0.790335152,0.769230769,0.948813983,0.849636669,0.24227145,-0.051442911,,-0.230648944,0.769351056,0.078955769,0.604
tabnet,preDisparate posROC,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.326034303,-0.040150565,,-0.220484754,0.779515246,0.072005426,0.577
tabtransformer,preLFR posROC,0.598598225,0.636009353,0.692840647,0.74906367,0.719856029,0.200656199,0.752823087,,0.677091478,inf,0.224135676,1
tabnet,preDisparate posEqqOds,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.326034303,-0.040150565,,-0.220484754,0.779515246,0.072005426,0.577
xgb,preDisparate posEqqOds,0.730181671,0.778643804,0.767875648,0.925093633,0.839184598,0.3314631,-0.075282309,,-0.248631744,0.751368256,0.09431122,0.654
xgb,preDisparate posCalibrated,0.730181671,0.778643804,0.767875648,0.925093633,0.839184598,0.3314631,-0.075282309,,-0.248631744,0.751368256,0.09431122,0.654
lgbm,preDisparate posROC,0.733734025,0.785658613,0.767276423,0.942571785,0.845938375,0.338072964,-0.057716437,,-0.233776388,0.766223612,0.083212874,0.615
lr,preDisparate posROC,0.737892468,0.790335152,0.769230769,0.948813983,0.849636669,0.24227145,-0.051442911,,-0.230648944,0.769351056,0.078955769,0.604
lr,preLFR posCalibrated,0.47783761,0.507404521,0.607369759,0.596754057,0.602015113,-0.044082138,0.599749059,,0.615324472,inf,0.348532935,1
mlp,preLFR posCalibrated,0.5,0.375681995,0,0,,-1.30E-18,0,,0,,0.979012251,0.459
mlp,preDisparate posCalibrated,0.715209463,0.761496493,0.760800843,0.901373283,0.825142857,0.337463268,-0.099121706,,-0.261141517,0.738858483,0.110735915,0.698
cat,preLFR posEqqOds,0.504259458,0.504286828,0.628304821,0.504369538,0.559556787,0.003172968,0.004391468,,0.001172791,1.002345582,0.425928585,0.269
xgb,preDisparate posROC,0.730181671,0.778643804,0.767875648,0.925093633,0.839184598,0.3314631,-0.075282309,,-0.248631744,0.751368256,0.09431122,0.654
mlp,preLFR posROC,0.5,0.375681995,0,0,,-2.12E-08,0,,0,,0.979012251,0.459
tabtransformer,preDisparate posEqqOds,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.321403386,-0.04140527,,-0.221266615,0.778733385,0.0728263,0.58
xgb,preLFR posCalibrated,0.506872892,0.420888542,0.645,0.161048689,0.257742258,-0.24805472,0.161856964,,0.156372166,inf,0.776247674,0.892
tabnet,preLFR posROC,0.546838495,0.508963367,0.685466377,0.394506866,0.500792393,0.079988346,-0.106022585,,-0.14112588,0.717748241,0.521053054,0.975
xgb,preLFR posEqqOds,0.640040199,0.622759158,0.765494137,0.570536829,0.65379113,0.234891198,-0.43161857,,-0.536356529,0.463643471,0.353037772,1
tabtransformer,preLFR posEqqOds,0.5,0.375681995,0,0,,3.94E-06,0,,0,,0.979012251,0.459
metafair,posEqqOds,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
lr,preLFR posROC,0.48876275,0.503507405,0.614845938,0.548064919,0.579537954,-0.031588373,-0.454203262,,-0.444878812,0.555121188,0.388973404,1
adversarial,preReweighing inAD posEqqOds,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331847719,-0.042659975,,-0.222048475,0.777951525,0.073647826,0.582
adversarial,preDisparate inAD,0.737910599,0.793452845,0.766932271,0.961298377,0.853185596,0.287441331,-0.038895859,,-0.218139171,0.781860829,0.071412521,0.573
metafair,preLFR,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
adversarial,inAD posCalibrated,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.274716344,-0.04140527,,-0.220484754,0.779515246,0.072940217,0.579
adversarial,preReweighing inAD,0.739985288,0.795011691,0.768463074,0.961298377,0.854132002,0.189279074,-0.038895859,,-0.219702893,0.780297107,0.071185205,0.575
adversarial,inAD posROC,0.495870048,0.482462977,0.619964974,0.441947566,0.516034985,-0.011545396,0.192910916,,0.195660672,1.78264269,0.483242445,1
xgb,preLFR posROC,0.5,0.375681995,0,0,,0,0,,0,,0.979012251,0.459
adversarial,preLFR inAD,0.441963106,0.341387373,0.288461538,0.037453184,0.066298343,-0.21280802,-0.967377666,,-0.921813917,0.078186083,0.958697638,1
metafair,preLFR posROC,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
adversarial,preLFR inAD posEqqOds,0.5,0.624318005,0.624318005,1,0.768714012,,0,,0,1,0.059630498,0.021
adversarial,preDisparate inAD posCalibrated,0.73603794,0.791114575,0.766233766,0.957553059,0.85127636,0.380975896,-0.042659975,,-0.220484754,0.779515246,0.073875007,0.58
adversarial,preReweighing inAD posROC,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.093336572,-0.040150565,,-0.218921032,0.781078968,0.072232698,0.575
adversarial,preReweighing inAD posCalibrated,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.33610896,-0.04140527,,-0.220484754,0.779515246,0.072940217,0.579
adversarial,inAD posEqqOds,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.266214241,-0.042659975,,-0.222048475,0.777951525,0.073647826,0.582
adversarial,preDisparate inAD posROC,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.361507977,-0.04140527,,-0.220484754,0.779515246,0.072940217,0.579
metafair,preLFR posEqqOds,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
adversarial,preLFR inAD posCalibrated,0.509315379,0.414653157,0.66025641,0.128589263,0.215256008,0.025928269,0.12923463,,0.121970289,inf,0.813780466,0.846
adversarial,preDisparate inAD posEqqOds,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.305930582,-0.040150565,,-0.219702893,0.780297107,0.072119366,0.576
adversarial,preLFR inAD posROC,0.5,0.624318005,0.624318005,1,0.768714012,-7.48E-06,0,,0,1,0.059630498,0.021
