model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
xgb,preDisparate posEqqOds,0.647926829,0.624338624,0.2125,0.68,0.323809524,0.147850114,-0.393939394,-0.417570197,-0.46143722,0.183131407,0.102515449,1
tabtransformer,preDisparate posEqqOds,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.172221166,-0.348484848,-0.35322491,-0.392998157,0.080665025,0.101341539,1
tabnet,preDisparate posROC,0.679756098,0.708994709,0.258064516,0.64,0.367816092,0.173959574,-0.348484848,-0.357895468,-0.398657541,0.11484512,0.103378125,1
tabtransformer,preDisparate posROC,0.67402439,0.64021164,0.227848101,0.72,0.346153846,0.170739291,-0.439393939,-0.485835418,-0.553303501,0.058665472,0.096685391,1
tabtransformer,preLFR posCalibrated,0.46695122,0.486772487,0.117021277,0.44,0.18487395,-0.026965488,-0.121212121,-0.126744509,-0.120558042,0.774384236,0.134765849,0.92
tabtransformer,preLFR posROC,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preReweighing inAD posEqqOds,0.661463415,0.677248677,0.235294118,0.64,0.344086022,0.147888652,-0.348484848,-0.399096469,-0.469334035,0.068443051,0.105730793,1
mlp,preLFR posROC,0.5,0.867724868,0,0,,5.64E-06,0,0,0,,0.141880587,0
tabtransformer,preLFR posEqqOds,0.5,0.867724868,0,0,,-2.07E-05,0,0,0,,0.141880587,0
tabnet,preDisparate posEqqOds,0.679756098,0.708994709,0.258064516,0.64,0.367816092,0.173959574,-0.348484848,-0.357895468,-0.398657541,0.11484512,0.103378125,1
xgb,preLFR posEqqOds,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
metafair,preLFR posCalibrated,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
xgb,preLFR posCalibrated,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
adversarial,preLFR inAD posEqqOds,0.5,0.867724868,0,0,,-3.47E-21,0,0,0,,0.141880587,0
adversarial,inAD posROC,0.5,0.867724868,0,0,,1.07E-05,0,0,0,,0.141880587,0
adversarial,preReweighing inAD,0.636707317,0.693121693,0.229508197,0.56,0.325581395,0.092565094,0.121212121,0.091214901,0.031850487,1.10176619,0.115228102,0.414
adversarial,inAD posCalibrated,0.707195122,0.756613757,0.301886792,0.64,0.41025641,0.185690638,-0.348484848,-0.33028913,-0.354830218,0.08857336,0.098222433,1
