model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
tabtransformer,preDisparate posCalibrated,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.321618954,0.010651707,0.054847711,0.029393581,1.038013627,0.072940217,0.127
mlp,preLFR posEqqOds,0.476429878,0.549493375,0.610286845,0.770287141,0.681015453,-0.056888503,0.105283247,0.054144356,0.066599242,1.086244256,0.214254142,0.427
xgb,posROC,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,0.001917307,0.034087069,0.011820601,1.015596184,0.089873044,0.081
mlp,preDisparate posCalibrated,0.707727892,0.75370226,0.756613757,0.892634207,0.819014891,0.318010573,-0.017486552,0.006534502,-0.012556449,0.983021045,0.117065922,0.082
tabnet,preReweighing posEqqOds,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.328226083,0.009036198,0.055428846,0.029393581,1.038013627,0.072005426,0.126
mlp,preDisparate posROC,0.707727892,0.75370226,0.756613757,0.892634207,0.819014891,0.318010573,-0.017486552,0.006534502,-0.012556449,0.983021045,0.117065922,0.082
lr,preReweighing posEqqOds,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242734198,0.002893714,0.049648132,0.023610962,1.030697386,0.075886838,0.108
lgbm,preReweighing posROC,0.729997772,0.78254092,0.764705882,0.941323346,0.843872412,0.336914658,0.004828774,0.031376136,0.010227945,1.013350877,0.084387548,0.077
mlp,preReweighing posEqqOds,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.067904632,-0.035067981,-0.056115935,0.924536401,0.120039756,0.218
tabtransformer,preDisparate posROC,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.323352125,0.010651707,0.054847711,0.029393581,1.038013627,0.072940217,0.127
xgb,preReweighing posEqqOds,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,0.001917307,0.034087069,0.011820601,1.015596184,0.089873044,0.081
lr,preDisparate posCalibrated,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242624803,0.002893714,0.049648132,0.023610962,1.030697386,0.075886838,0.108
tabnet,preReweighing posROC,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,0.010651707,0.060334961,0.033704505,1.043646442,0.072940217,0.138
lgbm,preDisparate posEqqOds,0.729593713,0.784099766,0.763052209,0.948813983,0.845854201,0.335225131,0.016465764,0.042613574,0.021568061,1.027967062,0.079868144,0.113
xgb,preDisparate posCalibrated,0.727711989,0.78020265,0.763451777,0.938826467,0.842105263,0.333740469,0.008059792,0.037090005,0.015560319,1.020365712,0.086163308,0.094
lr,preDisparate posROC,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242624803,0.002893714,0.049648132,0.023610962,1.030697386,0.075886838,0.108
cat,preDisparate posEqqOds,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.335538617,0.009036198,0.055428846,0.029393581,1.038013627,0.072005426,0.126
tabtransformer,preDisparate posEqqOds,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.32989092,0.009036198,0.054039957,0.028372131,1.036644216,0.072119366,0.123
cat,preLFR posCalibrated,0.538287203,0.565861263,0.653266332,0.649188514,0.651221039,0.02517353,-0.029522981,-0.057885352,-0.054351917,0.91417657,0.303292244,0.383
tabnet,preDisparate posCalibrated,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.332255635,0.009036198,0.052651068,0.02735068,1.035278413,0.072232698,0.121
tabtransformer,preReweighing posROC,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.329379225,0.009036198,0.058138318,0.031661604,1.040892758,0.072232698,0.132
lgbm,preLFR posCalibrated,0.5,0.624318005,0.624318005,1,0.768714012,-0.007056279,0,0,0,1,0.059630498,0.021
tabnet,preDisparate posROC,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.332255635,0.009036198,0.052651068,0.02735068,1.035278413,0.072232698,0.121
tabtransformer,preLFR posCalibrated,0.511887371,0.395167576,0.790697674,0.042446941,0.08056872,0.04631907,0.094383,0.067614997,0.072472582,5.434416118,0.917323148,1
mlp,preLFR posCalibrated,0.5,0.624318005,0.624318005,1,0.768714012,0.000247563,0,0,0,1,0.059630498,0.021
tabtransformer,preLFR posROC,0.510107956,0.621979735,0.629296236,0.960049938,0.760257044,0.042371914,0.04458627,0.062570913,0.057997554,1.061784119,0.084762179,0.204
xgb,preDisparate posEqqOds,0.727711989,0.78020265,0.763451777,0.938826467,0.842105263,0.333740469,0.008059792,0.037090005,0.015560319,1.020365712,0.086163308,0.094
lr,preLFR posCalibrated,0.5,0.375681995,0,0,,0.003181807,0,0,0,,0.979012251,0
